"TIME","CH1","CH2","CH3","CH4","MATH"
-9.376e-04,0.171,-0.014,-0.212,-0.092,1
-9.374e-04,0.171,-0.012,-0.224,-0.084,1
-9.372e-04,0.171,-0.014,-0.216,-0.08,1
-9.370e-04,0.169,-0.004,-0.216,-0.088,1
-9.368e-04,0.172,-0.01,-0.216,-0.072,1
-9.366e-04,0.171,-0.014,-0.216,-0.068,1
-9.364e-04,0.167,-0.01,-0.208,-0.072,1
-9.362e-04,0.171,-0.01,-0.212,-0.084,1
-9.360e-04,0.165,-0.016,-0.212,-0.068,1
-9.358e-04,0.171,-0.012,-0.21,-0.068,1
-9.356e-04,0.172,-0.014,-0.208,-0.08,1
-9.354e-04,0.172,-0.008,-0.214,-0.08,1
-9.352e-04,0.174,-0.012,-0.22,-0.072,1
-9.350e-04,0.168,-0.006,-0.214,-0.076,1
-9.348e-04,0.167,-0.008,-0.216,-0.072,1
-9.346e-04,0.17,-0.01,-0.212,-0.076,1
-9.344e-04,0.172,-0.01,-0.208,-0.072,1
-9.342e-04,0.171,-0.008,-0.22,-0.08,1
-9.340e-04,0.168,-0.02,-0.212,-0.08,1
-9.338e-04,0.17,-0.018,-0.212,-0.088,1
-9.336e-04,0.169,-0.006,-0.218,-0.076,1
-9.334e-04,0.171,-0.016,-0.218,-0.084,1
-9.332e-04,0.17,-0.018,-0.218,-0.076,1
-9.330e-04,0.168,-0.014,-0.224,-0.084,1
-9.328e-04,0.169,-0.008,-0.218,-0.08,1
-9.326e-04,0.168,-0.012,-0.212,-0.084,1
-9.324e-04,0.171,-0.008,-0.208,-0.072,1
-9.322e-04,0.169,-0.014,-0.214,-0.076,1
-9.320e-04,0.169,-0.01,-0.22,-0.096,1
-9.318e-04,0.168,-0.016,-0.214,-0.08,1
-9.316e-04,0.169,-0.018,-0.214,-0.076,1
-9.314e-04,0.169,-0.01,-0.216,-0.072,1
-9.312e-04,0.171,-0.012,-0.216,-0.08,1
-9.310e-04,0.168,-0.012,-0.21,-0.068,1
-9.308e-04,0.168,-0.01,-0.214,-0.08,1
-9.306e-04,0.17,-0.006,-0.21,-0.064,1
-9.304e-04,0.17,-0.008,-0.216,-0.076,1
-9.302e-04,0.17,-0.012,-0.22,-0.08,1
-9.300e-04,0.17,-0.006,-0.216,-0.072,1
-9.298e-04,0.169,-0.016,-0.212,-0.072,1
-9.296e-04,0.169,-0.01,-0.214,-0.076,1
-9.294e-04,0.169,-0.012,-0.216,-0.092,1
-9.292e-04,0.171,-0.006,-0.208,-0.08,1
-9.290e-04,0.169,-0.01,-0.214,-0.076,1
-9.288e-04,0.169,0.002,-0.216,-0.08,1
-9.286e-04,0.17,-0.012,-0.214,-0.072,1
-9.284e-04,0.168,-0.01,-0.218,-0.068,1
-9.282e-04,0.169,-0.02,-0.218,-0.076,1
-9.280e-04,0.171,-0.008,-0.21,-0.088,1
-9.278e-04,0.171,-0.01,-0.218,-0.076,1
-9.276e-04,0.17,-0.008,-0.21,-0.084,1
-9.274e-04,0.171,-0.006,-0.206,-0.076,1
-9.272e-04,0.169,-0.014,-0.218,-0.08,1
-9.270e-04,0.17,0,-0.218,-0.076,1
-9.268e-04,0.171,-0.02,-0.212,-0.092,1
-9.266e-04,0.173,-0.002,-0.214,-0.08,1
-9.264e-04,0.169,-0.014,-0.216,-0.076,1
-9.262e-04,0.167,-0.01,-0.214,-0.068,1
-9.260e-04,0.174,-0.014,-0.212,-0.068,1
-9.258e-04,0.169,-0.012,-0.22,-0.08,1
-9.256e-04,0.171,-0.006,-0.218,-0.068,1
-9.254e-04,0.172,-0.016,-0.212,-0.068,1
-9.252e-04,0.172,-0.014,-0.218,-0.072,1
-9.250e-04,0.171,-0.012,-0.218,-0.092,1
