"TIME","CH1","CH2","CH3","CH4","MATH"
-1.8944e-04,0.224,-0.002,0.236,-0.056,1
-1.8940e-04,0.226,0,0.232,-0.048,1
-1.8936e-04,0.221,0.004,0.226,-0.052,1
-1.8932e-04,0.223,0.004,0.226,-0.044,1
-1.8928e-04,0.222,-0.004,0.232,-0.044,1
-1.8924e-04,0.225,0.004,0.232,-0.044,1
-1.8920e-04,0.223,0.006,0.23,-0.064,1
-1.8916e-04,0.223,-0.002,0.226,-0.06,1
-1.8912e-04,0.224,-0.004,0.232,-0.052,1
-1.8908e-04,0.223,0.008,0.222,-0.052,1
-1.8904e-04,0.225,-0.002,0.23,-0.044,1
-1.8900e-04,0.224,0,0.234,-0.048,1
-1.8896e-04,0.223,0.006,0.226,-0.056,1
-1.8892e-04,0.223,0.008,0.234,-0.056,1
-1.8888e-04,0.226,0.004,0.234,-0.044,1
-1.8884e-04,0.226,0.002,0.228,-0.052,1
-1.8880e-04,0.224,-0.002,0.232,-0.04,1
-1.8876e-04,0.223,0.004,0.228,-0.048,1
-1.8872e-04,0.222,0.008,0.23,-0.052,1
-1.8868e-04,0.221,0.002,0.234,-0.06,1
-1.8864e-04,0.224,0.008,0.228,-0.04,1
-1.8860e-04,0.224,0.002,0.228,-0.06,1
-1.8856e-04,0.222,0.008,0.234,-0.044,1
-1.8852e-04,0.224,0.006,0.232,-0.052,1
-1.8848e-04,0.224,-0.004,0.236,-0.052,1
-1.8844e-04,0.224,0.002,0.236,-0.048,1
-1.8840e-04,0.221,-0.002,0.224,-0.048,1
-1.8836e-04,0.223,0.002,0.23,-0.052,1
-1.8832e-04,0.223,0.004,0.224,-0.056,1
-1.8828e-04,0.223,0.002,0.23,-0.048,1
-1.8824e-04,0.223,0.002,0.236,-0.04,1
-1.8820e-04,0.224,0.008,0.226,-0.044,1
-1.8816e-04,0.225,-0.006,0.22,-0.052,1
-1.8812e-04,0.221,0,0.238,-0.06,1
-1.8808e-04,0.223,-0.004,0.234,-0.056,1
-1.8804e-04,0.224,0.002,0.228,-0.056,1
-1.8800e-04,0.222,0.006,0.232,-0.064,1
-1.8796e-04,0.222,0.002,0.228,-0.044,1
-1.8792e-04,0.226,0.008,0.232,-0.052,1
-1.8788e-04,0.224,0.01,0.228,-0.048,1
-1.8784e-04,0.225,-0.002,0.22,-0.044,1
-1.8780e-04,0.226,0,0.23,-0.048,1
-1.8776e-04,0.221,0.002,0.232,-0.044,1
-1.8772e-04,0.223,0,0.236,-0.052,1
-1.8768e-04,0.225,0,0.226,-0.056,1
-1.8764e-04,0.222,0.004,0.242,-0.06,1
-1.8760e-04,0.222,0.004,0.232,-0.056,1
-1.8756e-04,0.224,0,0.238,-0.044,1
-1.8752e-04,0.223,-0.002,0.23,-0.052,1
-1.8748e-04,0.224,-0.002,0.23,-0.044,1
-1.8744e-04,0.223,0.004,0.228,-0.064,1
-1.8740e-04,0.224,0.004,0.234,-0.04,1
-1.8736e-04,0.225,-0.004,0.226,-0.048,1
-1.8732e-04,0.22,-0.002,0.23,-0.052,1
-1.8728e-04,0.223,0.006,0.232,-0.056,1
-1.8724e-04,0.225,0,0.24,-0.048,1
-1.8720e-04,0.22,0.008,0.232,-0.052,1
-1.8716e-04,0.222,0,0.232,-0.044,1
-1.8712e-04,0.225,0,0.238,-0.044,1
-1.8708e-04,0.225,0,0.238,-0.036,1
-1.8704e-04,0.224,0,0.238,-0.044,1
-1.8700e-04,0.225,0,0.228,-0.052,1
-1.8696e-04,0.224,0.004,0.23,-0.044,1
-1.8692e-04,0.225,0.002,0.232,-0.044,1
-1.8688e-04,0.225,0,0.236,-0.06,1
-1.8684e-04,0.224,0,0.23,-0.056,1
-1.8680e-04,0.225,0.002,0.232,-0.048,1
-1.8676e-04,0.224,0,0.232,-0.04,1
-1.8672e-04,0.224,0,0.226,-0.048,1
-1.8668e-04,0.225,0.006,0.228,-0.052,1
-1.8664e-04,0.22,0,0.234,-0.056,1
-1.8660e-04,0.226,0.006,0.234,-0.052,1
-1.8656e-04,0.221,0.004,0.228,-0.044,1
-1.8652e-04,0.222,0.008,0.226,-0.052,1
-1.8648e-04,0.22,-0.002,0.236,-0.048,1
-1.8644e-04,0.221,0.002,0.23,-0.052,1
-1.8640e-04,0.223,0.006,0.236,-0.064,1
-1.8636e-04,0.225,-0.004,0.234,-0.052,1
-1.8632e-04,0.219,0.01,0.234,-0.052,1
-1.8628e-04,0.226,0.002,0.232,-0.048,1
-1.8624e-04,0.224,0,0.236,-0.04,1
-1.8620e-04,0.22,0,0.236,-0.052,1
-1.8616e-04,0.223,0.002,0.234,-0.048,1
-1.8612e-04,0.226,0.006,0.232,-0.064,1
-1.8608e-04,0.222,0.002,0.232,-0.06,1
-1.8604e-04,0.223,0.004,0.228,-0.048,1
-1.8600e-04,0.223,0.004,0.236,-0.052,1
-1.8596e-04,0.223,0,0.23,-0.056,1
-1.8592e-04,0.223,0.004,0.23,-0.04,1
-1.8588e-04,0.22,-0.002,0.232,-0.048,1
-1.8584e-04,0.227,0.006,0.232,-0.056,1
-1.8580e-04,0.225,0.004,0.226,-0.052,1
-1.8576e-04,0.221,0.004,0.236,-0.052,1
-1.8572e-04,0.222,0.004,0.228,-0.056,1
-1.8568e-04,0.223,0,0.236,-0.052,1
-1.8564e-04,0.225,-0.002,0.234,-0.06,1
-1.8560e-04,0.225,0.01,0.234,-0.048,1
-1.8556e-04,0.222,-0.002,0.234,-0.06,1
-1.8552e-04,0.224,0.002,0.244,-0.044,1
-1.8548e-04,0.22,0.002,0.222,-0.06,1
-1.8544e-04,0.225,-0.004,0.222,-0.056,1
-1.8540e-04,0.221,-0.002,0.226,-0.056,1
-1.8536e-04,0.223,0,0.226,-0.052,1
-1.8532e-04,0.223,0.004,0.23,-0.04,1
-1.8528e-04,0.222,0,0.232,-0.052,1
-1.8524e-04,0.221,0.002,0.23,-0.048,1
-1.8520e-04,0.223,0.002,0.23,-0.048,1
-1.8516e-04,0.224,-0.002,0.238,-0.052,1
-1.8512e-04,0.223,0.008,0.228,-0.052,1
-1.8508e-04,0.223,0.002,0.23,-0.044,1
-1.8504e-04,0.223,0.002,0.23,-0.06,1
-1.8500e-04,0.226,-0.002,0.228,-0.044,1
-1.8496e-04,0.225,0.004,0.234,-0.06,1
-1.8492e-04,0.226,0,0.238,-0.056,1
-1.8488e-04,0.221,0,0.232,-0.064,1
-1.8484e-04,0.225,-0.008,0.232,-0.048,1
-1.8480e-04,0.224,-0.002,0.224,-0.052,1
-1.8476e-04,0.221,0.004,0.232,-0.048,1
-1.8472e-04,0.223,0.002,0.228,-0.06,1
-1.8468e-04,0.224,0.004,0.234,-0.048,1
-1.8464e-04,0.226,0,0.234,-0.052,1
-1.8460e-04,0.223,0.002,0.228,-0.036,1
-1.8456e-04,0.224,-0.002,0.232,-0.048,1
-1.8452e-04,0.222,-0.004,0.24,-0.048,1
-1.8448e-04,0.223,-0.002,0.234,-0.044,1
-1.8444e-04,0.222,0.006,0.238,-0.044,1
-1.8440e-04,0.227,0.002,0.23,-0.064,1
-1.8436e-04,0.221,0.002,0.234,-0.048,1
-1.8432e-04,0.224,0.002,0.234,-0.052,1
-1.8428e-04,0.222,0.008,0.236,-0.044,1
-1.8424e-04,0.221,0.004,0.23,-0.048,1
-1.8420e-04,0.221,0,0.228,-0.056,1
-1.8416e-04,0.224,0.002,0.234,-0.048,1
-1.8412e-04,0.222,0.002,0.234,-0.048,1
-1.8408e-04,0.225,0.002,0.232,-0.052,1
-1.8404e-04,0.224,-0.004,0.236,-0.052,1
-1.8400e-04,0.222,-0.004,0.236,-0.048,1
-1.8396e-04,0.223,0.004,0.22,-0.048,1
-1.8392e-04,0.223,0.002,0.236,-0.048,1
-1.8388e-04,0.225,0,0.23,-0.044,1
-1.8384e-04,0.222,0,0.232,-0.052,1
-1.8380e-04,0.221,0.002,0.232,-0.052,1
-1.8376e-04,0.224,0.004,0.238,-0.04,1
-1.8372e-04,0.224,0.004,0.232,-0.044,1
-1.8368e-04,0.224,0.004,0.234,-0.052,1
-1.8364e-04,0.226,0.006,0.238,-0.044,1
